tconst;title
tt0031381;Gone with the Wind (1939)
tt0032138;The Wizard of Oz (1939)
tt0052357;Vertigo (1958)
tt0052618;Ben-Hur (1959)
tt0053125;North by Northwest (1959)
tt0053291;Some Like It Hot (1959)
tt0056592;To Kill a Mockingbird (1962)
tt0057012;Dr. Strangelove (1964)
tt0057115;The Great Escape (1963)
tt0059742;The Sound of Music (1965)
tt0060196;The Good, the Bad and the Ugly (1966)
tt0061722;The Graduate (1967)
tt0062622;2001: A Space Odyssey (1968)
tt0064115;Butch Cassidy and the Sundance Kid (1969)
tt0064116;Once Upon a Time in the West (1968)
tt0068646;The Godfather (1972)
tt0071315;Chinatown (1974)
tt0071562;The Godfather: Part II (1974)
tt0071853;Monty Python and the Holy Grail (1975)
tt0073195;Jaws (1975)
tt0073486;One Flew Over the Cuckoo's Nest (1975)
tt0075148;Rocky (1976)
tt0075314;Taxi Driver (1976)
tt0076759;Star Wars: Episode IV - A New Hope (1977)
tt0077631;Grease (1978)
tt0078748;Alien (1979)
tt0078788;Apocalypse Now (1979)
tt0079470;Monty Python's Life of Brian (1979)
tt0079501;Mad Max (1979)
tt0080339;Airplane! (1980)
tt0080684;Star Wars: Episode V - The Empire Strikes Back (1980)
tt0081398;Raging Bull (1980)
tt0081505;The Shining (1980)
tt0082096;Das Boot (1981)
tt0082971;Raiders of the Lost Ark (1981)
tt0083658;Blade Runner (1982)
tt0083866;E.T. the Extra-Terrestrial (1982)
tt0083944;First Blood (1982)
tt0086190;Star Wars: Episode VI - Return of the Jedi (1983)
tt0087332;Ghostbusters (1984)
tt0087363;Gremlins (1984)
tt0087469;Indiana Jones and the Temple of Doom (1984)
tt0088247;The Terminator (1984)
tt0088763;Back to the Future (1985)
tt0088847;The Breakfast Club (1985)
tt0089218;The Goonies (1985)
tt0091042;Ferris Bueller's Day Off (1986)
tt0092005;Stand by Me (1986)
tt0092890;Dirty Dancing (1987)
tt0093058;Full Metal Jacket (1987)
tt0093409;Lethal Weapon (1987)
tt0093773;Predator (1987)
tt0093779;The Princess Bride (1987)
tt0093870;RoboCop (1987)
tt0094226;The Untouchables (1987)
tt0094721;Beetlejuice (1988)
tt0094737;Big (1988)
tt0095016;Die Hard (1988)
tt0095953;Rain Man (1988)
tt0096283;My Neighbor Totoro (1988)
tt0096874;Back to the Future Part II (1989)
tt0096895;Batman (1989)
tt0097165;Dead Poets Society (1989)
tt0097576;Indiana Jones and the Last Crusade (1989)
tt0097757;The Little Mermaid (1989)
tt0098635;When Harry Met Sally... (1989)
tt0099088;Back to the Future Part III (1990)
tt0099348;Dances with Wolves (1990)
tt0099423;Die Hard 2 (1990)
tt0099487;Edward Scissorhands (1990)
tt0099653;Ghost (1990)
tt0099674;The Godfather: Part III (1990)
tt0099685;Goodfellas (1990)
tt0099785;Home Alone (1990)
tt0100405;Pretty Woman (1990)
tt0100802;Total Recall (1990)
tt0101414;Beauty and the Beast (1991)
tt0102057;Hook (1991)
tt0102926;The Silence of the Lambs (1991)
tt0103064;Terminator 2: Judgment Day (1991)
tt0103639;Aladdin (1992)
tt0103776;Batman Returns (1992)
tt0104257;A Few Good Men (1992)
tt0104431;Home Alone 2: Lost in New York (1992)
tt0105236;Reservoir Dogs (1992)
tt0105323;Scent of a Woman (1992)
tt0105695;Unforgiven (1992)
tt0106977;The Fugitive (1993)
tt0107048;Groundhog Day (1993)
tt0107290;Jurassic Park (1993)
tt0107614;Mrs. Doubtfire (1993)
tt0108550;What's Eating Gilbert Grape (1993)
tt0109040;Ace Ventura: Pet Detective (1994)
tt0109686;Dumb and Dumber (1994)
tt0109830;Forrest Gump (1994)
tt0110357;The Lion King (1994)
tt0110413;Léon: The Professional (1994)
tt0110475;The Mask (1994)
tt0110912;Pulp Fiction (1994)
tt0111161;The Shawshank Redemption (1994)
tt0111257;Speed (1994)
tt0111503;True Lies (1994)
tt0112281;Ace Ventura: When Nature Calls (1995)
tt0112384;Apollo 13 (1995)
tt0112442;Bad Boys (1995)
tt0112462;Batman Forever (1995)
tt0112641;Casino (1995)
tt0112864;Die Hard with a Vengeance (1995)
tt0113189;GoldenEye (1995)
tt0113277;Heat (1995)
tt0113497;Jumanji (1995)
tt0114369;Se7en (1995)
tt0114709;Toy Story (1995)
tt0114746;12 Monkeys (1995)
tt0114814;The Usual Suspects (1995)
tt0116282;Fargo (1996)
tt0116367;From Dusk Till Dawn (1996)
tt0116483;Happy Gilmore (1996)
tt0116629;Independence Day (1996)
tt0116695;Jerry Maguire (1996)
tt0116996;Mars Attacks! (1996)
tt0117060;Mission: Impossible (1996)
tt0117500;The Rock (1996)
tt0117571;Scream (1996)
tt0118655;Austin Powers: International Man of Mystery (1997)
tt0118688;Batman & Robin (1997)
tt0118715;The Big Lebowski (1998)
tt0118749;Boogie Nights (1997)
tt0118799;Life Is Beautiful (1997)
tt0118880;Con Air (1997)
tt0118884;Contact (1997)
tt0118971;The Devil's Advocate (1997)
tt0119008;Donnie Brasco (1997)
tt0119094;Face/Off (1997)
tt0119116;The Fifth Element (1997)
tt0119174;The Game (1997)
tt0119177;Gattaca (1997)
tt0119217;Good Will Hunting (1997)
tt0119282;Hercules (1997)
tt0119396;Jackie Brown (1997)
tt0119488;L.A. Confidential (1997)
tt0119528;Liar Liar (1997)
tt0119567;The Lost World: Jurassic Park (1997)
tt0119643;Meet Joe Black (1998)
tt0119654;Men in Black (1997)
tt0119698;Princess Mononoke (1997)
tt0119822;As Good as It Gets (1997)
tt0120201;Starship Troopers (1997)
tt0120338;Titanic (1997)
tt0120363;Toy Story 2 (1999)
tt0120382;The Truman Show (1998)
tt0120586;American History X (1998)
tt0120591;Armageddon (1998)
tt0120601;Being John Malkovich (1999)
tt0120611;Blade (1998)
tt0120616;The Mummy (1999)
tt0120623;A Bug's Life (1998)
tt0120655;Dogma (1999)
tt0120660;Enemy of the State (1998)
tt0120667;Fantastic Four (2005)
tt0120689;The Green Mile (1999)
tt0120735;Lock, Stock and Two Smoking Barrels (1998)
tt0120737;The Lord of the Rings: The Fellowship of the Ring (2001)
tt0120755;Mission: Impossible II (2000)
tt0120762;Mulan (1998)
tt0120812;Rush Hour (1998)
tt0120855;Tarzan (1999)
tt0120903;X-Men (2000)
tt0120912;Men in Black II (2002)
tt0120915;Star Wars: Episode I - The Phantom Menace (1999)
tt0121765;Star Wars: Episode II - Attack of the Clones (2002)
tt0121766;Star Wars: Episode III - Revenge of the Sith (2005)
tt0125439;Notting Hill (1999)
tt0126029;Shrek (2001)
tt0128853;You've Got Mail (1998)
tt0129387;There's Something About Mary (1998)
tt0130827;Run Lola Run (1998)
tt0133093;The Matrix (1999)
tt0133152;Planet of the Apes (2001)
tt0137523;Fight Club (1999)
tt0139654;Training Day (2001)
tt0143145;The World Is Not Enough (1999)
tt0145487;Spider-Man (2002)
tt0145660;Austin Powers: The Spy Who Shagged Me (1999)
tt0147800;10 Things I Hate About You (1999)
tt0151804;Office Space (1999)
tt0162222;Cast Away (2000)
tt0162661;Sleepy Hollow (1999)
tt0163025;Jurassic Park III (2001)
tt0163651;American Pie (1999)
tt0163978;The Beach (2000)
tt0167190;Hellboy (2004)
tt0167260;The Lord of the Rings: The Return of the King (2003)
tt0167261;The Lord of the Rings: The Two Towers (2002)
tt0167404;The Sixth Sense (1999)
tt0169547;American Beauty (1999)
tt0172495;Gladiator (2000)
tt0175142;Scary Movie (2000)
tt0181689;Minority Report (2002)
tt0181852;Terminator 3: Rise of the Machines (2003)
tt0181875;Almost Famous (2000)
tt0183505;Me, Myself & Irene (2000)
tt0187393;The Patriot (2000)
tt0190332;Crouching Tiger, Hidden Dragon (2000)
tt0190590;O Brother, Where Art Thou? (2000)
tt0196229;Zoolander (2001)
tt0198781;Monsters, Inc. (2001)
tt0203009;Moulin Rouge! (2001)
tt0206634;Children of Men (2006)
tt0207201;What Women Want (2000)
tt0208092;Snatch (2000)
tt0209144;Memento (2000)
tt0209163;The Mummy Returns (2001)
tt0211915;Amélie (2001)
tt0212338;Meet the Parents (2000)
tt0212346;Miss Congeniality (2000)
tt0212720;A.I. Artificial Intelligence (2001)
tt0217505;Gangs of New York (2002)
tt0217869;Unbreakable (2000)
tt0234215;The Matrix Reloaded (2003)
tt0238380;Equilibrium (2002)
tt0240772;Ocean's Eleven (2001)
tt0241527;Harry Potter and the Sorcerer's Stone (2001)
tt0242653;The Matrix Revolutions (2003)
tt0245429;Spirited Away (2001)
tt0246460;Die Another Day (2002)
tt0246578;Donnie Darko (2001)
tt0252866;American Pie 2 (2001)
tt0257044;Road to Perdition (2002)
tt0258000;Panic Room (2002)
tt0258463;The Bourne Identity (2002)
tt0259324;Ghost Rider (2007)
tt0264464;Catch Me If You Can (2002)
tt0265086;Black Hawk Down (2001)
tt0265208;The Girl Next Door (2004)
tt0265666;The Royal Tenenbaums (2001)
tt0266543;Finding Nemo (2003)
tt0266697;Kill Bill: Vol. 1 (2003)
tt0268380;Ice Age (2002)
tt0268978;A Beautiful Mind (2001)
tt0278504;Insomnia (2002)
tt0286106;Signs (2002)
tt0286716;Hulk (2003)
tt0287978;Daredevil (2003)
tt0289043;28 Days Later... (2002)
tt0289765;Red Dragon (2002)
tt0289879;The Butterfly Effect (2004)
tt0290334;X2: X-Men United (2003)
tt0293662;The Transporter (2002)
tt0295178;Austin Powers in Goldmember (2002)
tt0295297;Harry Potter and the Chamber of Secrets (2002)
tt0298148;Shrek 2 (2004)
tt0302886;Old School (2003)
tt0304141;Harry Potter and the Prisoner of Azkaban (2004)
tt0305224;Anger Management (2003)
tt0308644;Finding Neverland (2004)
tt0309698;Identity (2003)
tt0311113;Master and Commander: The Far Side of the World (2003)
tt0314331;Love Actually (2003)
tt0315327;Bruce Almighty (2003)
tt0316654;Spider-Man 2 (2004)
tt0317219;Cars (2006)
tt0317705;The Incredibles (2004)
tt0317740;The Italian Job (2003)
tt0317919;Mission: Impossible III (2006)
tt0319061;Big Fish (2003)
tt0319262;The Day After Tomorrow (2004)
tt0319343;Elf (2003)
tt0325710;The Last Samurai (2003)
tt0325980;Pirates of the Caribbean: The Curse of the Black Pearl (2003)
tt0327056;Mystic River (2003)
tt0330373;Harry Potter and the Goblet of Fire (2005)
tt0332379;School of Rock (2003)
tt0332452;Troy (2004)
tt0333766;Garden State (2004)
tt0335266;Lost in Translation (2003)
tt0335345;The Passion of the Christ (2004)
tt0337978;Live Free or Die Hard (2007)
tt0338013;Eternal Sunshine of the Spotless Mind (2004)
tt0338751;The Aviator (2004)
tt0343818;I, Robot (2004)
tt0349903;Ocean's Twelve (2004)
tt0351283;Madagascar (2005)
tt0356150;EuroTrip (2004)
tt0357413;Anchorman: The Legend of Ron Burgundy (2004)
tt0358273;Walk the Line (2005)
tt0359950;The Secret Life of Walter Mitty (2013)
tt0360486;Constantine (2005)
tt0360717;King Kong (2005)
tt0361748;Inglourious Basterds (2009)
tt0361862;The Machinist (2004)
tt0362227;The Terminal (2004)
tt0363547;Dawn of the Dead (2004)
tt0363771;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)
tt0364569;Oldboy (2003)
tt0364725;Dodgeball (2004)
tt0365748;Shaun of the Dead (2004)
tt0367594;Charlie and the Chocolate Factory (2005)
tt0367882;Indiana Jones and the Kingdom of the Crystal Skull (2008)
tt0368447;The Village (2004)
tt0368891;National Treasure (2004)
tt0369339;Collateral (2004)
tt0369610;Jurassic World (2015)
tt0371724;The Hitchhiker's Guide to the Galaxy (2005)
tt0371746;Iron Man (2008)
tt0372183;The Bourne Supremacy (2004)
tt0372784;Batman Begins (2005)
tt0373889;Harry Potter and the Order of the Phoenix (2007)
tt0375679;Crash (2004)
tt0376541;Closer (2004)
tt0376994;X-Men: The Last Stand (2006)
tt0378194;Kill Bill: Vol. 2 (2004)
tt0379786;Serenity (2005)
tt0381061;Casino Royale (2006)
tt0381849;3:10 to Yuma (2007)
tt0382625;The Da Vinci Code (2006)
tt0382932;Ratatouille (2007)
tt0383574;Pirates of the Caribbean: Dead Man's Chest (2006)
tt0386588;Hitch (2005)
tt0388795;Brokeback Mountain (2005)
tt0389860;Click (2006)
tt0396269;Wedding Crashers (2005)
tt0397892;Bolt (2008)
tt0399146;A History of Violence (2005)
tt0399201;The Island (2005)
tt0401729;John Carter (2012)
tt0401792;Sin City (2005)
tt0405094;The Lives of Others (2006)
tt0405159;Million Dollar Baby (2004)
tt0405422;The 40-Year-Old Virgin (2005)
tt0407304;War of the Worlds (2005)
tt0407887;The Departed (2006)
tt0409459;Watchmen (2009)
tt0409847;Cowboys & Aliens (2011)
tt0411477;Hellboy II: The Golden Army (2008)
tt0413267;Shrek the Third (2007)
tt0413300;Spider-Man 3 (2007)
tt0414387;Pride & Prejudice (2005)
tt0416449;300 (2006)
tt0418279;Transformers (2007)
tt0420223;Stranger Than Fiction (2006)
tt0421715;The Curious Case of Benjamin Button (2008)
tt0425061;Get Smart (2008)
tt0425112;Hot Fuzz (2007)
tt0425210;Lucky Number Slevin (2006)
tt0427944;Thank You for Smoking (2005)
tt0429493;The A-Team (2010)
tt0433035;Real Steel (2011)
tt0434409;V for Vendetta (2005)
tt0435761;Toy Story 3 (2010)
tt0438097;Ice Age: The Meltdown (2006)
tt0438488;Terminator Salvation (2009)
tt0440963;The Bourne Ultimatum (2007)
tt0441773;Kung Fu Panda (2008)
tt0443272;Lincoln (2012)
tt0443453;Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
tt0443706;Zodiac (2007)
tt0446029;Scott Pilgrim vs. the World (2010)
tt0448011;Knowing (2009)
tt0448134;Sunshine (2007)
tt0448157;Hancock (2008)
tt0449059;Little Miss Sunshine (2006)
tt0449088;Pirates of the Caribbean: At World's End (2007)
